date,d1,d2,d3,d4
2018-05-01,0,0.00,0.00,0
2018-05-02,0,0.00,0.00,0
2018-05-03,1,1.00,1.00,1
2018-05-04,1,1.00,3.00,3
2018-05-05,2,1.00,11.50,23
2018-05-06,0,0.00,0.00,0
2018-05-07,0,0.00,0.00,0
2018-05-08,3,1.00,4.00,12
2018-05-09,1,1.00,6.00,6
2018-05-10,1,1.00,3.00,3
2018-05-11,2,1.00,1.50,3
2018-05-12,16,1.60,5.25,84
2018-05-13,4,1.33,3.00,12
2018-05-14,2,1.00,2.00,4
2018-05-15,4,1.33,4.50,18
2018-05-16,0,0.00,0.00,0
2018-05-17,0,0.00,0.00,0
2018-05-18,1,1.00,1.00,1
2018-05-19,0,0.00,0.00,0
2018-05-20,1,1.00,1.00,1
2018-05-21,1,1.00,6.00,6
2018-05-22,0,0.00,0.00,0
2018-05-23,0,0.00,0.00,0
2018-05-24,0,0.00,0.00,0
2018-05-25,3,1.50,3.67,11
2018-05-26,1,1.00,1.00,1
2018-05-27,0,0.00,0.00,0
2018-05-28,11,2.75,20.64,227
2018-05-29,46,1.15,6.41,295
2018-05-30,3,3.00,6.67,20
2018-05-31,5,1.67,3.80,19
2018-06-01,1,1.00,3.00,3
2018-06-02,2,2.00,4.50,9
2018-06-03,0,0.00,0.00,0
2018-06-04,7,2.33,4.00,28
2018-06-05,4,2.00,2.25,9
2018-06-06,5,2.50,1.20,6
2018-06-07,9,1.29,8.56,77
2018-06-08,1,1.00,1.00,1
2018-06-09,0,0.00,0.00,0
2018-06-10,0,0.00,0.00,0
2018-06-11,3,1.50,3.67,11
2018-06-12,2,2.00,1.50,3
2018-06-13,2,2.00,3.00,6
2018-06-14,0,0.00,0.00,0
2018-06-15,1,1.00,7.00,7
2018-06-16,0,0.00,0.00,0
2018-06-17,0,0.00,0.00,0
2018-06-18,1,1.00,1.00,1
2018-06-19,2,2.00,2.00,4
2018-06-20,0,0.00,0.00,0
2018-06-21,1,1.00,1.00,1
2018-06-22,1,1.00,1.00,1
2018-06-23,1,1.00,1.00,1
2018-06-24,1,1.00,2.00,2
2018-06-25,4,1.33,2.00,8
2018-06-26,1,1.00,1.00,1
2018-06-27,0,0.00,0.00,0
2018-06-28,4,2.00,2.75,11
2018-06-29,4,1.33,2.00,8
2018-06-30,0,0.00,0.00,0
2018-07-01,0,0.00,0.00,0
2018-07-02,7,2.33,5.00,35
2018-07-03,0,0.00,0.00,0
2018-07-04,5,2.50,34.40,172
2018-07-05,2,1.00,21.00,42
2018-07-06,1,1.00,1.00,1
2018-07-07,0,0.00,0.00,0
2018-07-08,1,1.00,2.00,2